algorithm,subsampling,feature_selection,imputation_num,imputation_cat,encoding,fold,auc,sen,spec,accu,gmean
LR,none,FFS,Drop,Unknown,Label,1,0.619174018,0.004694836,0.999138302,0.878810831,0.068489343
LR,none,FFS,Drop,Missing,Label,1,0.608194622,0.006259781,0.999138302,0.879000189,0.079084682
LR,none,FFS,Drop,Mode,Label,1,0.608194622,0.006259781,0.999138302,0.879000189,0.079084682
LR,none,FFS,Drop,Drop,Label,1,0.620157213,0.002758621,0.998808578,0.873459469,0.052491276
LR,none,FFS,Median,Unknown,Label,1,0.607520447,0.001587302,0.999226505,0.859820339,0.039825542
LR,none,FFS,Median,Missing,Label,1,0.598889738,0.001587302,0.999097589,0.859709438,0.039822973
LR,none,FFS,Median,Mode,Label,1,0.597173828,0.001587302,0.999097589,0.859709438,0.039822973
LR,none,FFS,Median,Drop,Label,1,0.620602176,0.004970179,0.998289003,0.863887021,0.070439158
LR,none,FFS,Drop,Unknown,One-Hot,1,0.6217967,0.004694836,0.998922878,0.878621473,0.068481959
LR,none,FFS,Drop,Missing,One-Hot,1,0.6217967,0.004694836,0.998922878,0.878621473,0.068481959
LR,none,FFS,Drop,Mode,One-Hot,1,0.6217967,0.004694836,0.998922878,0.878621473,0.068481959
LR,none,FFS,Drop,Drop,One-Hot,1,0.599456602,0.004137931,0.999007149,0.873806631,0.064294811
LR,none,FFS,Median,Unknown,One-Hot,1,0.616551154,0.002380952,0.999226505,0.859931241,0.048776129
LR,none,FFS,Median,Missing,One-Hot,1,0.616551154,0.002380952,0.999226505,0.859931241,0.048776129
LR,none,FFS,Median,Mode,One-Hot,1,0.605062555,0.001587302,0.999097589,0.859709438,0.039822973
LR,none,FFS,Median,Drop,One-Hot,1,0.620602176,0.004970179,0.998289003,0.863887021,0.070439158
LR,none,LASSO,Drop,Unknown,Label,1,0.650067864,0.004694836,0.998922878,0.878621473,0.068481959
LR,none,LASSO,Drop,Missing,Label,1,0.649347423,0.004694836,0.998707454,0.878432115,0.068474575
LR,none,LASSO,Drop,Mode,Label,1,0.661200484,0.004694836,0.998707454,0.878432115,0.068474575
LR,none,LASSO,Drop,Drop,Label,1,0.63940155,0.002758621,0.999007149,0.87363305,0.052496493
LR,none,LASSO,Median,Unknown,Label,1,0.652373177,0.007142857,0.998324094,0.859820339,0.084444576
LR,none,LASSO,Median,Missing,Label,1,0.651072457,0.006349206,0.998324094,0.859709438,0.07961511
LR,none,LASSO,Median,Mode,Label,1,0.654688955,0.007936508,0.99845301,0.860042143,0.089018146
LR,none,LASSO,Median,Drop,Label,1,0.651948938,0.00695825,0.997977913,0.863887021,0.083331748
LR,none,LASSO,Drop,Unknown,One-Hot,1,0.657496802,0.004694836,0.998707454,0.878432115,0.068474575
LR,none,LASSO,Drop,Missing,One-Hot,1,0.653741878,0.004694836,0.998922878,0.878621473,0.068481959
LR,none,LASSO,Drop,Mode,One-Hot,1,0.653741878,0.004694836,0.998922878,0.878621473,0.068481959
LR,none,LASSO,Drop,Drop,One-Hot,1,0.643416505,0.002758621,0.999205719,0.873806631,0.05250171
LR,none,LASSO,Median,Unknown,One-Hot,1,0.662665365,0.011111111,0.998195179,0.860263946,0.10531409
LR,none,LASSO,Median,Missing,One-Hot,1,0.661861483,0.011904762,0.998066263,0.860263946,0.1090034
LR,none,LASSO,Median,Mode,One-Hot,1,0.660560149,0.008730159,0.998324094,0.860042143,0.093356991
LR,none,LASSO,Median,Drop,One-Hot,1,0.65882385,0.005964215,0.997666822,0.863483524,0.077138182
LR,none,RF,Drop,Unknown,Label,1,0.647223857,0.010954617,0.998707454,0.879189547,0.104596641
LR,none,RF,Drop,Missing,Label,1,0.63628104,0.004694836,0.999569151,0.879189547,0.068504109
LR,none,RF,Drop,Mode,Label,1,0.646716143,0.006259781,0.998707454,0.878621473,0.079067628
LR,none,RF,Drop,Drop,Label,1,0.631957766,0.005517241,0.999007149,0.873980212,0.074241253
LR,none,RF,Median,Unknown,Label,1,0.645741481,0.004761905,0.999355421,0.860374848,0.068984312
LR,none,RF,Median,Missing,Label,1,0.643183832,0.007936508,0.998324094,0.859931241,0.089012399
LR,none,RF,Median,Mode,Label,1,0.644975557,0.006349206,0.998195179,0.859598536,0.079609969
LR,none,RF,Median,Drop,Label,1,0.638818821,0.004970179,0.999066729,0.864559516,0.070466591
LR,none,RF,Drop,Unknown,One-Hot,1,0.651822949,0.006259781,0.998707454,0.878621473,0.079067628
LR,none,RF,Drop,Missing,One-Hot,1,0.651301076,0.004694836,0.998492029,0.878242757,0.068467189
LR,none,RF,Drop,Mode,One-Hot,1,0.65304807,0.006259781,0.998492029,0.878432115,0.0790591
LR,none,RF,Drop,Drop,One-Hot,1,0.635115719,0.002758621,0.999007149,0.87363305,0.052496493
LR,none,RF,Median,Unknown,One-Hot,1,0.638649065,0.004761905,0.999097589,0.860153044,0.068975413
LR,none,RF,Median,Missing,One-Hot,1,0.635805652,0.004761905,0.999226505,0.860263946,0.068979863
LR,none,RF,Median,Mode,One-Hot,1,0.634016076,0.003968254,0.998968673,0.859931241,0.062961587
LR,none,RF,Median,Drop,One-Hot,1,0.648422577,0.007952286,0.997666822,0.863752522,0.0890715
LR,down,FFS,Drop,Unknown,Label,1,0.62732306,0.543035994,0.635501939,0.624313577,0.587452489
LR,down,FFS,Drop,Missing,Label,1,0.616639663,0.538341158,0.639595002,0.627343306,0.586788134
LR,down,FFS,Drop,Mode,Label,1,0.616639663,0.538341158,0.639595002,0.627343306,0.586788134
LR,down,FFS,Drop,Drop,Label,1,0.621540632,0.566896552,0.605440826,0.600590175,0.585851787
LR,down,FFS,Median,Unknown,Label,1,0.612133587,0.543650794,0.626917623,0.615282245,0.583801561
LR,down,FFS,Median,Missing,Label,1,0.605228508,0.527777778,0.617893516,0.605301098,0.571060826
LR,down,FFS,Median,Mode,Label,1,0.604089138,0.521428571,0.61931159,0.605633803,0.568266449
LR,down,FFS,Median,Drop,Label,1,0.621011758,0.541749503,0.642868253,0.629186281,0.590147064
LR,down,FFS,Drop,Unknown,One-Hot,1,0.6296221,0.55086072,0.619129685,0.610869154,0.58399848
LR,down,FFS,Drop,Missing,One-Hot,1,0.6296221,0.55086072,0.619129685,0.610869154,0.58399848
LR,down,FFS,Drop,Mode,One-Hot,1,0.6296221,0.55086072,0.619129685,0.610869154,0.58399848
LR,down,FFS,Drop,Drop,One-Hot,1,0.603074964,0.511724138,0.636616362,0.620899149,0.570764364
